Book_A,Chapter_A,Number_A,Matn_A,Book_B,Chapter_B,Number_B,Matn_B,Label
Bukhari,67,5236,The Prophet (ﷺ) was screening me with his Rida' (garment covering the upper part of the body) while Iwas looking at the Ethiopians who were playing in the courtyard of the mosque. (I continuedwatching) till I was satisfied. So you may deduce from this event how a little girl (who has notreached the age of puberty) who is eager to enjoy amusement should be treated in this respect.,Nesai,19,1594,"""I remember the Messenger of Allah (ﷺ) covering me with his Rida' while I was watching the Ethiopians playing in the masjid, until I got bored. So you should understand the keenness of young girls to play.""",1
Bukhari,8,454,"Once I saw Allah's Messenger (ﷺ) at the door of my house while some Ethiopians were playing in themosque (displaying their skill with spears). Allah's Messenger (ﷺ) was screening me with his Rida' so as toenable me to see their display. (`Urwa said that `Aisha said, ""I saw the Prophet (ﷺ) and the Ethiopianswere playing with their spears."")",Nesai,19,1594,"""I remember the Messenger of Allah (ﷺ) covering me with his Rida' while I was watching the Ethiopians playing in the masjid, until I got bored. So you should understand the keenness of young girls to play.""",1
Bukhari,67,5236,The Prophet (ﷺ) was screening me with his Rida' (garment covering the upper part of the body) while Iwas looking at the Ethiopians who were playing in the courtyard of the mosque. (I continuedwatching) till I was satisfied. So you may deduce from this event how a little girl (who has notreached the age of puberty) who is eager to enjoy amusement should be treated in this respect.,Bukhari,67,5190,"Aisha said, ""While the Ethiopians were playing with their small spears, Allah's Messenger (ﷺ) screened mebehind him and I watched (that display) and kept on watching till I left on my own."" So you mayestimate of what age a little girl may listen to amusement.",1
Bukhari,85,6758,"Aisha said, ""I bought Barira and her masters stipulated that the Wala would be for them."" Aishamentioned that to the Prophet (ﷺ) and he said, ""Manumit her, as the Wala is for the one who gives thesilver (i.e. pays the price for freeing the slave)."" Aisha added, ""So I manumitted her. After that, theProphet caller her (Barira) and gave her the choice to go back to her husband or not. She said, ""If hegave me so much and so much (money) I would not stay with him."" So she selected her ownself (i.e.refused to go back to her husband).""",Bukhari,85,6760,"Allah's Messenger (ﷺ) said, ""The wala is for the one who gives the silver (pays the price) and does the favor(of manumission after paying the price).",1
IbnMaja,30,3466,"“Whoever drinks from a silver vessel, it is as if he is swallowing Hell-fire into his belly.”",Muslim,37,5301,He who drinks in the vessel of silver in fact drinks down in his belly the fire of Hell.,1
Muslim,38,5513,Ibn 'Umar reported that 'Umar had a daughter who was called 'Asiya. Allah's Messenger (ﷺ) gave her the name of Jamila.,Tirmizi,43,2960,"that the Prophet (ﷺ) changed the name of 'Asiyah, he said: ""You are Jamilah.""",1
AbuDaud,9,1551,"A’ishah reported The Messenger of Allah (ﷺ) as saying When a woman gives (some of the property) from her husband’s house, not wasting it, she will have her reward for what she has spent, and her husband will have his for what he earned.The said applies to a trustee. In no respect does the one diminish the reward of the other.",AbuDaud,9,1554,‘Ata said Abu Hurairah was asked Whether a woman could give sadaqah from the house (property) of her husband.He replied `No’. She can give it from her maintenance. The reward will be divided between them. It is not lawful for her to give sadaqah from her husband’s property without his permission.Abu Dawud said This version weakens the version narrated by Hammam (bin Munabbih).,0
AbuDaud,13,2150,"Abu Salamah bin ‘Abd Al Rahman reported on the authority of Fatimah daughter of Qais Abu ‘Amr bin Hafs divorced her (Fatimah daughter of Qais) absolutely when he was away from home and his agent sent her home barley. She was displeased with it. He said “I swear by Allah, you have no claim on us. She then came to Apostle of Allah (ﷺ) and mentioned that to him. He said to her “No maintenance is due to you from him. He ordered her to spend the waiting period in the house of Umm Sharik but he said afterwards “that is a woman whom my Companions visit. Spend the waiting period in the house of Ibn Umm Maktum for he is blind and you can undress. Then when you are in a position of being remarried, tell me.” She said “When I was in a position to remarry, I mentioned to him that Mu’awiyah bin Abi Sufyan and Abu Jahm had asked me in marriage. The Apostle of Allah (ﷺ)said “As for Abu Jahm, he does not put down his stick from his shoulder, and as for Mu’awiyah he is a poor man who has no property; marry Usamah bin Zaid. I disliked him but he said “Marry Usamah bin Zaid. So, I married him. And Allah prospered him very much and I was envied.”",Muslim,18,3631,"I swear by Allah that you have no claim on us. she went to Allah's Messenger (ﷺ) and mentioned that to him. He said: There is no maintenance due to you from him, and he commanded her to spend the 'Idda in the house of Umm Sharik, but then said: That is a woman whom my companions visit. So better spend this period in the house of Ibn Umm Maktum, for he is a blind man and yon can put off your garments. And when the 'Idda is over, inform me. She said: When my period of 'Idda was over, I mentioned to him that Mu'awiya b. Abu Sufyan and Jahm had sent proposal of marriage to me, whereupon Allah's Messenger (ﷺ) said: As for Abu Jahm, he does not put down his staff from his shoulder, and as for Mu'awiya, he is a poor man having no property; marry Usama b. Zaid. I objected to him, but he again said: Marry Usama; so I married him. Allah blessed there in and I was envied (by others).",1
Muslim,18,3631,"I swear by Allah that you have no claim on us. she went to Allah's Messenger (ﷺ) and mentioned that to him. He said: There is no maintenance due to you from him, and he commanded her to spend the 'Idda in the house of Umm Sharik, but then said: That is a woman whom my companions visit. So better spend this period in the house of Ibn Umm Maktum, for he is a blind man and yon can put off your garments. And when the 'Idda is over, inform me. She said: When my period of 'Idda was over, I mentioned to him that Mu'awiya b. Abu Sufyan and Jahm had sent proposal of marriage to me, whereupon Allah's Messenger (ﷺ) said: As for Abu Jahm, he does not put down his staff from his shoulder, and as for Mu'awiya, he is a poor man having no property; marry Usama b. Zaid. I objected to him, but he again said: Marry Usama; so I married him. Allah blessed there in and I was envied (by others).",Muslim,18,3634,"There is no maintenance allowance due to you from us. Khalid b. Walid along with a group of persons visited Allah's Messenger (ﷺ) in the house of Maimuna and they said: Abu Hafs has divorced his wife with three pronouncements; is there any maintenance allowance due to her? Thereupon Allah's Messenger (ﷺ) said: No maintenance allowance is due to her, but she is required to spend the 'Idda; and he sent her the message that she should not be hasty in making a decision about herself and commanded her to move to the house of Umm Sharik, and then sent her the message that as the first immigrants (frequently) visit the house of Umm Sharik, she should better go to the house of Ibn Umm Maktum, the blind, (and further said: In case you put off your head-dress, he (Ibn Umm Makhtum) will not see you. So she went to his house, and when the 'Idda was over, Allah's Messenger (ﷺ) married her to Usama b. Zaid b. Haritha.",1
Muslim,18,3634,"There is no maintenance allowance due to you from us. Khalid b. Walid along with a group of persons visited Allah's Messenger (ﷺ) in the house of Maimuna and they said: Abu Hafs has divorced his wife with three pronouncements; is there any maintenance allowance due to her? Thereupon Allah's Messenger (ﷺ) said: No maintenance allowance is due to her, but she is required to spend the 'Idda; and he sent her the message that she should not be hasty in making a decision about herself and commanded her to move to the house of Umm Sharik, and then sent her the message that as the first immigrants (frequently) visit the house of Umm Sharik, she should better go to the house of Ibn Umm Maktum, the blind, (and further said: In case you put off your head-dress, he (Ibn Umm Makhtum) will not see you. So she went to his house, and when the 'Idda was over, Allah's Messenger (ﷺ) married her to Usama b. Zaid b. Haritha.",Nesai,26,3245,"""By Allah, you have no rights over us."" She went to the Messenger of Allah and told him about that, and he said: ""You have no right to maintenance."" He told her to observe her 'Iddah in the house of Umm Sharik, then he said: ""She is a woman whose house is frequented by my Companions. Observe your 'Iddah in the house of Ibn Umm Maktum, for he is a blind man and you can take off your garment. And when your 'Iddah is over, let me know."" She said: ""When my 'Iddah was over I told him that Mu'awiyah bin Abi Sufyan and Abu Jahm had proposed marriage to me. The Messenger of Allah said: 'As for Abu Jahm, his stick never leaves his shoulder, and as for Mu'awiyah he is a poor man who has no wealth. Rather you should marry Usamah bin Zaid.' I did not like the idea, then he said: 'Marry Usamah bin Zaid.' So I married him and Allah created a lot of good in him, and others felt jealous of my good fortune.""",1
Muslim,4,843,Ibn Umm Maktum used to pronounce Adhan at the behest of the Messenger of Allah (ﷺ) (despite the fact) that he was blind.,Tirmizi,2,203,"the Prophet said: ""Indeed Bilal calls the Adhan in the night, so eat and drink until you hear the Adhan of Ibn Umm Maktum.""",0
Tirmizi,2,203,"the Prophet said: ""Indeed Bilal calls the Adhan in the night, so eat and drink until you hear the Adhan of Ibn Umm Maktum.""",AbuDaud,2,535,Ibn Umm Maktum was themu'adhdhin of the Messenger of Allah (May peace be upon him) and he was blind.,0
Bukhari,65,4753,"`Aisha used to say: ""When (the Verse): ""They should draw their veils over their necks and bosoms,"" was revealed, (the ladies) cut their waist sheets at the edges and covered their heads and faces with those cut pieces of cloth.""",AbuDaud,34,3968,"May Allah have mercy on the early immigrant women. When the verse ""That they should draw their veils over their bosoms"" was revealed, they tore their thick outer garments and made veils from them.",1
Bukhari,23,1341,"When the Prophet (ﷺ) became ill, some of his wives talked about a church which they had seen inEthiopia and it was called Mariya. Um Salma and Um Habiba had been to Ethiopia, and both of themnarrated its (the Church's) beauty and the pictures it contained. The Prophet (ﷺ) raised his head and said,""Those are the people who, whenever a pious man dies amongst them, make a place of worship at hisgrave and then they make those pictures in it. Those are the worst creatures in the Sight of Allah.""",Bukhari,8,427,"Um Habiba and Um Salama mentioned about a church they had seen in Ethiopia in which there werepictures. They told the Prophet (ﷺ) about it, on which he said, ""If any religious man dies amongst thosepeople they would build a place of worship at his grave and make these pictures in it. They will be theworst creature in the sight of Allah on the Day of Resurrection.""",1
Bukhari,8,427,"Um Habiba and Um Salama mentioned about a church they had seen in Ethiopia in which there werepictures. They told the Prophet (ﷺ) about it, on which he said, ""If any religious man dies amongst thosepeople they would build a place of worship at his grave and make these pictures in it. They will be theworst creature in the sight of Allah on the Day of Resurrection.""",Bukhari,63,3874,"Um Habiba and Um Salama mentioned a church they had seen in Ethiopia and in the church therewere pictures. When they told the Prophet (ﷺ) of this, he said, ""Those people are such that if a pious manamongst them died, they build a place of worship over his grave and paint these pictures in it. Thosepeople will be Allah's worst creatures on the Day of Resurrection . """,1
Bukhari,68,5334,"Zainab bint Abu Salama told me these three narrations: Zainab said: I went to Um Habiba, the wife ofthe Prophet (ﷺ) when her father, Abu- Sufyan bin Herb had died. Um ,Habiba asked for a perfume whichcontained yellow scent (Khaluq) or some other scent, and she first perfumed one of the girls with itand then rubbed her cheeks with it and said, ""By Allah, I am not in need of perfume, but I have heardAllah's Messenger (ﷺ) saying, 'It is not lawful for a lady who believes in Allah and the Last Day to mourn fora dead person for more than three days unless he is her husband for whom she should mourn for fourmonths and ten days.'""",Bukhari,23,1280,"When the news of the death of Abu Sufyan reached from Sham, Um Habiba on the third day, asked for a yellow perfume and scented her cheeks and forearms and said, ""No doubt, I would not have beenin need of this, had I not heard the Prophet (ﷺ) saying: ""It is not legal for a woman who believes in Allahand the Last Day to mourn for more than three days for any dead person except her husband, forwhom she should mourn for four months and ten days.""",1
Bukhari,23,1280,"When the news of the death of Abu Sufyan reached from Sham, Um Habiba on the third day, asked for a yellow perfume and scented her cheeks and forearms and said, ""No doubt, I would not have beenin need of this, had I not heard the Prophet (ﷺ) saying: ""It is not legal for a woman who believes in Allahand the Last Day to mourn for more than three days for any dead person except her husband, forwhom she should mourn for four months and ten days.""",nesai,27,3534,"""i entered upon umm habibah, the wife of the prophet, when her father abu sufyan bin harb died. umm habibah called for some perfume and put some on a young girl, then she put some on her cheeks. then she said: 'by allah, i do not have any need for perfume but i heard the messenger of allah say: it is not permissible for any woman who believes in allah and the last day to mourn for anyone who dies for more than three days, except for a husband, (for whom the mourning period is) four months and ten days.'""",1
nesai,27,3534,"""i entered upon umm habibah, the wife of the prophet, when her father abu sufyan bin harb died. umm habibah called for some perfume and put some on a young girl, then she put some on her cheeks. then she said: 'by allah, i do not have any need for perfume but i heard the messenger of allah say: it is not permissible for any woman who believes in allah and the last day to mourn for anyone who dies for more than three days, except for a husband, (for whom the mourning period is) four months and ten days.'""",muslim,18,3664,"umm salama and umm habiba (allah be pleased with them) were talking with each other (and saying) that a woman came to allah's messenger  and mentioned to him that her daughter had lost her husband, and her eyes were sore and she wnted to use collyrium, whereupon allah's messenger  said: one among you used to throw dung at the end of a year, and now (this abstinence from adornment) is only for four months and ten days.",1
Bukhari,25,1699,"I heard `Aisha saying, ""Five days before the end of Dhul-Qa'da we set out from Medina in the company of Allah's Messenger (ﷺ) with the intention of performing Hajj only. When we approached Mecca, Allah's Messenger (ﷺ) ordered those who had no Hadi with them to finish their lhram after performing Tawaf of the Ka`ba and (Sa`i) and between Safa and Marwa."" `Aisha added, ""On the day of Nahr (slaughtering of sacrifice) beef was brought to us. I asked, 'What is this?' The reply was, 'Allah's Apostle (p.b.u.h) has slaughtered (sacrifices) on behalf of his wives.' """,Bukhari,25,1710,"I heard `Aisha saying, ""We set out (from Medina) along with Allah's Messenger (ﷺ) five days before the end of Dhul-Qa'da with the intention of performing Hajj only. When we approached Mecca, Allah's Apostle ordered those who had no Hadi along with them to finish the lhram after performing Tawaf of the Ka`ba, (Safa and Marwa). `Aisha added, ""Beef was brought to us on the Day of Nahr and I said, 'What is this?' Somebody said, 'The Prophet (ﷺ) has slaughtered (cows) on behalf of his wives.' """,1
Bukhari,59,3303,"The Prophet (ﷺ) called the Salamander, a mischief-doer. I have not heard him ordering that it should bekilled. Sa`d bin Waqqas claims that the Prophet (ﷺ) ordered that it should be killed.",Bukhari,28,1831,"Allah's Messenger (ﷺ) called the salamander a bad animal, but I did not hear him ordering it to be killed.""",0
Bukhari,59,3305,"The Prophet (ﷺ) said, ""Kill the snake with two white lines on its back, for it blinds the on-looker and causes abortion.""",Bukhari,59,3306,"The Prophet (ﷺ) ordered that a short-tailed or mutilated-tailed snake (i.e. Abtar) should be killed, for itblinds the on-looker and causes abortion.""",1
Nesai,24,2830,"""There are five which the Muhrim may kill: snakes, mice, kites, speckled crows and vicious dogs.""",Muslim,15,2803,"Five are the harmful things which should be killed in the state of Ihram or otherwise: snake, speckled crow. rat. voracious dog, and kite.",1
Nesai,24,2830,"""There are five which the Muhrim may kill: snakes, mice, kites, speckled crows and vicious dogs.""",Nesai,24,2882,"""There are five kinds of vermin which may be killed out and inside the Haram: Crows, kites, vicious dogs, scorpions and mice.""",1
Bukhari,76,5741,"I asked `Aisha about treating poisonous stings (a snake-bite or a scorpion sting) with a Ruqya. Shesaid, ""The Prophet (ﷺ) allowed the treatment of poisonous sting with Ruqya.""",IbnMaja,31,3568,“The Messenger of Allah (ﷺ) allowed Ruqyah for snakebites and scorpion stings.”,1
Bukhari,76,5705,"Allah's Messenger (ﷺ) said, 'Nations were displayed before me; one or two prophets would pass by alongwith a few followers. A prophet would pass by accompanied by nobody. Then a big crowd of peoplepassed in front of me and I asked, Who are they Are they my followers?"" It was said, 'No. It is Mosesand his followers It was said to me, 'Look at the horizon.'' Behold! There was a multitude of peoplefilling the horizon. Then it was said to me, 'Look there and there about the stretching sky! Behold!There was a multitude filling the horizon,' It was said to me, 'This is your nation out of whom seventythousand shall enter Paradise without reckoning.' ""Then the Prophet (ﷺ) entered his house without tellinghis companions who they (the 70,000) were. So the people started talking about the issue and said, ""Itis we who have believed in Allah and followed His Apostle; therefore those people are eitherourselves or our children who are born m the Islamic era, for we were born in the Pre-lslamic Periodof Ignorance.'' When the Prophet (ﷺ) heard of that, he came out and said. ""Those people are those who donot treat themselves with Ruqya, nor do they believe in bad or good omen (from birds etc.) nor dothey get themselves branded (Cauterized). but they put their trust (only) in their Lord "" On that'Ukasha bin Muhsin said. ""Am I one of them, O Allah's Messenger (ﷺ)?' The Prophet (ﷺ) said, ""Yes."" Thenanother person got up and said, ""Am I one of them?"" The Prophet (ﷺ) said, 'Ukasha has anticipated you.""",Bukhari,76,5811,"I heard Allah's Messenger (ﷺ) saying ""From among my followers, a group (o 70,000) will enter Paradisewithout being asked for their accounts, Their faces will be shining like the moon."" 'Ukasha binMuhsin Al-Asadi got up, lifting his covering sheet and said, ""O Allah's Messenger (ﷺ) Invoke Allah for methat He may include me with them."" The Prophet (ﷺ) said! ""O Allah! Make him from them."" Then anotherman from Al-Ansar got up and said, ""O Allah's Messenger (ﷺ)! Invoke Allah for me that He may include mewith them."" On that Allah's Messenger (ﷺ) said, ""'Ukasha has anticipated you.""",1
Bukhari,76,5752,"The Prophet (ﷺ) once came out to us and said, ""Some nations were displayed before me. A prophet wouldpass in front of me with one man, and another with two men, and another with a group of people. andanother with nobody with him. Then I saw a great crowd covering the horizon and I wished that theywere my followers, but it was said to me, 'This is Moses and his followers.' Then it was said to me,'Look'' I looked and saw a big gathering with a large number of people covering the horizon. It wassaid, ""Look this way and that way.' So I saw a big crowd covering the horizon. Then it was said to me,""These are your followers, and among them there are 70,000 who will enter Paradise without (beingasked about their) accounts. "" Then the people dispersed and the Prophet (ﷺ) did not tell who those 70,000were. So the companions of the Prophet (ﷺ) started talking about that and some of them said, ""As regardsus, we were born in the era of heathenism, but then we believed in Allah and His Apostle . We thinkhowever, that these (70,000) are our offspring."" That talk reached the Prophet (ﷺ) who said, ""These(70,000) are the people who do not draw an evil omen from (birds) and do not get treated by brandingthemselves and do not treat with Ruqya, but put their trust (only) in their Lord."" then 'Ukasha binMuhsin got up and said, ""O Allah's Messenger (ﷺ)! Am I one of those (70,000)?"" The Prophet (ﷺ) said, ""Yes.""Then another person got up and said, ""Am I one of them?"" The Prophet (ﷺ) said, "" 'Ukasha has anticipatedyou.""",Bukhari,76,5811,"I heard Allah's Messenger (ﷺ) saying ""From among my followers, a group (o 70,000) will enter Paradisewithout being asked for their accounts, Their faces will be shining like the moon."" 'Ukasha binMuhsin Al-Asadi got up, lifting his covering sheet and said, ""O Allah's Messenger (ﷺ) Invoke Allah for methat He may include me with them."" The Prophet (ﷺ) said! ""O Allah! Make him from them."" Then anotherman from Al-Ansar got up and said, ""O Allah's Messenger (ﷺ)! Invoke Allah for me that He may include mewith them."" On that Allah's Messenger (ﷺ) said, ""'Ukasha has anticipated you.""",1
IbnMaja,36,4115,"“At the end of my nation there will be the earth collapsing, transformations, and Qadhf.”",IbnMaja,36,4117,"“There will be among my nation collapsing of the earth, transformations, and Qadhf.”",1
Muslim,37,5361,A'isha reported that the pillow on which Allah's Messenger (ﷺ) reclined was of leather stuffed with palm fibre.,Muslim,37,5362,A'isha reported that the bedding on which. Allah's Messenger (ﷺ) slept was made of leather stuffed with palm fibre.,1
Muslim,37,5362,A'isha reported that the bedding on which. Allah's Messenger (ﷺ) slept was made of leather stuffed with palm fibre.,IbnMaja,37,4207,"“The bed of the Messenger of Allah (ﷺ) was made of leather, stuffed with fibers of date-palm trees.”",1
Muslim,37,5361,A'isha reported that the pillow on which Allah's Messenger (ﷺ) reclined was of leather stuffed with palm fibre.,IbnMaja,37,4207,"“The bed of the Messenger of Allah (ﷺ) was made of leather, stuffed with fibers of date-palm trees.”",1
Tirmizi,47,3185,"""'Abdullah said: 'The Messenger of Allah (ﷺ) commanded me to recite for him while he was on the Minbar. So I recited from Surat An-Nisa for him, until I reached: How then (will it be) when We bring from each nation a witness, and We bring you (Muhammad) as a witness against these people? (4:41) The Messenger of Allah (ﷺ) was beckoning me (to stop) with his hand, and I looked at him and his eyes were flowing with tears.""",IbnMaja,37,4251,"“The Prophet (ﷺ) said to me: ‘Recite Qur’an to me,’ so I recited Surat An-Nisa’ to him, and when I reached (the Verse): “How (will it be) then, when We bring forth from each nation a witness and We bring you as a witness against these people?” [4:41] I looked at him, and his eyes were filled with tears.”",1
Bukhari,68,5284,"Aisha intended to buy Barira, but her masters stipulated that her wala wound be for them. Aishamentioned that to the Prophet (ﷺ) who said (to `Aisha), ""Buy and manumit her, for the wala is for the onewho manumits."" Once some me; was brought to the Prophet (ﷺ) and was said, ""This meat was given incharity to Barira. "" The Prophet (ﷺ) said, ""It an object of charity for Barira and present for us.""Narrated Adam:Shu`ba relate the same Hadith and added: Barira was given the option regarding her husband.",Bukhari,68,5430,"Three traditions have been established because of Barira: `Aisha intended to buy her and set her free,but Barira's masters said, ""Her wala' will be for us."" `Aisha mentioned that to Allah's Messenger (ﷺ) whosaid, ""You could accept their condition if you wished, for the wala is for the one who manumits theslave."" Barira was manumitted, then she was given the choice either to stay with her husband or leavehim; One day Allah's Messenger (ﷺ) entered `Aisha's house while there was a cooking pot of food boiling onthe fire. The Prophet (ﷺ) asked for lunch, and he was presented with bread and some extra food from thehome-made Udm (e.g. soup). He asked, ""Don't I see meat (being cooked)?"" They said, ""Yes, O Allah'sApostle! But it is the meat that has been given to Barira in charity and she has given it to us as apresent."" He said, ""For Barira it is alms, but for us it is a present.""",1
